0.128000 78.665 42.265 5.086 101631.222
0.129000 78.661 42.258 5.086 101632.134
0.130000 78.657 42.251 5.086 101633.035
0.131000 78.653 42.244 5.086 101633.899
0.132000 78.648 42.236 5.086 101634.717
0.133000 78.644 42.229 5.086 101635.509
0.134000 78.640 42.221 5.086 101636.320
0.135000 78.635 42.214 5.086 101637.198
0.136000 78.631 42.206 5.086 101638.180
0.137000 78.626 42.198 5.086 101639.271
0.138000 78.622 42.190 5.086 101640.450
0.139000 78.617 42.183 5.086 101641.679
0.140000 78.613 42.175 5.086 101642.911
0.141000 78.608 42.167 5.086 101644.109
0.142000 78.604 42.159 5.086 101645.266
0.143000 78.599 42.151 5.086 101646.392
0.144000 78.594 42.143 5.086 101647.515
0.145000 78.590 42.135 5.086 101648.669
0.146000 78.585 42.126 5.086 101649.882
0.147000 78.580 42.118 5.086 101651.156
0.148000 78.575 42.110 5.086 101652.464
0.149000 78.571 42.101 5.086 101653.759
0.150000 78.566 42.093 5.086 101654.990
0.151000 78.561 42.085 5.086 101656.131
0.152000 78.556 42.076 5.086 101657.195
0.153000 78.551 42.067 5.086 101658.232
0.154000 78.546 42.059 5.086 101659.300
0.155000 78.541 42.050 5.086 101653.536
0.156000 78.536 42.041 5.086 101650.244
0.157000 78.531 42.033 5.086 101649.358
0.158000 78.526 42.024 5.086 101649.409
0.159000 78.521 42.015 5.086 101649.754
0.160000 78.516 42.007 5.086 101650.192
0.161000 78.511 41.998 5.086 101650.648
0.162000 78.506 41.989 5.086 101651.070
0.163000 78.501 41.981 5.086 101651.414
0.164000 78.496 41.972 5.086 101651.661
0.165000 78.491 41.963 5.086 101651.817
0.166000 78.486 41.955 5.086 101651.936
0.167000 78.481 41.946 5.086 101652.099
0.168000 78.476 41.938 5.086 101652.374
0.169000 78.471 41.929 5.086 101652.778
0.170000 78.466 41.920 5.086 101653.249
0.171000 78.461 41.912 5.086 101653.692
0.172000 78.456 41.903 5.086 101654.042
0.173000 78.451 41.894 5.086 101654.296
0.174000 78.446 41.886 5.086 101654.497
0.175000 78.441 41.877 5.086 101654.700
0.176000 78.436 41.868 5.086 101654.953
0.177000 78.431 41.860 5.086 101655.285
0.178000 78.426 41.851 5.086 101655.691
0.179000 78.421 41.842 5.086 101656.117
0.180000 78.416 41.834 5.086 101656.494
0.181000 78.411 41.825 5.086 101656.755
0.182000 78.406 41.816 5.086 101656.852
0.183000 78.401 41.808 5.086 101656.742
0.184000 78.396 41.799 5.086 101656.407
0.185000 78.391 41.790 5.086 101655.863
0.186000 78.386 41.782 5.086 101655.175
0.187000 78.381 41.773 5.086 101654.435
0.188000 78.376 41.764 5.086 101653.727
0.189000 78.371 41.756 5.086 101653.108
0.190000 78.366 41.747 5.086 101652.619
0.191000 78.361 41.738 5.086 101652.262
0.192000 78.356 41.730 5.086 101652.035
0.193000 78.351 41.721 5.086 101651.931
0.194000 78.346 41.712 5.086 101651.920
0.195000 78.341 41.704 5.086 101651.960
0.196000 78.336 41.695 5.086 101652.033
0.197000 78.331 41.686 5.086 101652.135
0.198000 78.326 41.678 5.086 101652.294
