0.001000 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101441.109 101441.109 101441.109 101441.109 101441.109 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101399.781 101441.109 101441.109 101441.109 101441.109
0.002000 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101457.779 101457.779 101457.779 101457.779 101457.779 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101445.601 101457.779 101457.779 101457.779 101457.779
0.003000 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101469.114 101469.114 101469.114 101469.114 101469.114 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101465.405 101469.114 101469.114 101469.114 101469.114
0.004000 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101474.137 101474.137 101474.137 101474.137 101474.137 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101473.810 101474.137 101474.137 101474.137 101474.137
0.005000 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101475.721 101475.721 101475.721 101475.721 101475.721 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101477.298 101475.721 101475.721 101475.721 101475.721
0.006000 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101476.014 101476.014 101476.014 101476.014 101476.014 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101478.725 101476.014 101476.014 101476.014 101476.014
0.007000 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101475.992 101475.992 101475.992 101475.992 101475.992 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101479.236 101475.992 101475.992 101475.992 101475.992
0.008000 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101475.637 101475.637 101475.637 101475.637 101475.637 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101479.407 101475.637 101475.637 101475.637 101475.637
0.009000 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101475.233 101475.233 101475.233 101475.233 101475.233 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101479.490 101475.233 101475.233 101475.233 101475.233
0.010000 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101474.892 101474.892 101474.892 101474.892 101474.892 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101479.596 101474.892 101474.892 101474.892 101474.892
